title,company name,location,city,country,type,level,experience,skills,Description,Requirements,Image link
Senior Data Engineer,Worex,Maadi, Cairo,Egypt,['Full Time'],Experienced,· 3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Machine Learning', 'Computer Science', 'Big Data']","New data integrations, DataOps, troubleshooting & automation & Teradata migration and transformations
Create and maintain, with the team, an optimal data pipeline architecture. 
Build, deploy, and maintain distributed data analytics systems using Hadoop/Spark, Python, Java , Go , Scala, and C/C++ 
Assemble large, complex data sets that meet functional / non-functional requirements. 
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. 
Build the infrastructure required for optimal loading of data from a wide variety of data sources using SQL and big data technologies. 
Work with stakeholders including the Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. 
Identify gaps and improve the platform’s quality, robustness, and speed 
Meet customer requirements in terms of availability, reliability, functionality, and performance","Results-oriented, determined and having a self-driven attitude 
Deep Understanding of CS (Data Structure , Algorithms , Data Sterilization , Discreate Mathematics , CLI , Shell Scripting , networking, and corn jobs ) 
Proven Experience in programming languages like (Java , Python , Scala) 
Deep understanding of relational and non-relational databases 
Basics understanding and implementing Machine Learning (TensorFlow, Spark MiLB) 
Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets. In both batch and real-time data integration.",https://images.wuzzuf-data.net/files/company_logo/Worex-Egypt-58786-1606135536-sm.png
Mechanical Engineer,Eagle Chemicals,6th of October, Giza,Egypt,['Full Time'],Entry Level,· 1 - 3 Yrs of Exp,"['Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'AutoCAD', 'Mechanical Engineering', 'Mechanical', 'Production Engineering', 'Maintenance', 'Machines', 'Leadership', 'Production']","Perform overall quality control of the work (budget, schedule, plans, personnel’s performance) and report regularly on project status.
Develop installation bid packages, get quotes and order.
Cooperate and communicate effectively with production team.
Follow up maintenance process to raise efficiency
Upgrade existing equipment to improve efficiency","Bachelor’s degree in mechanical engineering.
1 to 3 years’ experience.
Professional user of AutoCAD and Microsoft office.
Decision making ability and leadership skills.
Very good command of English.
Learning & Researching.
Decision making ability and leadership skills.",https://images.wuzzuf-data.net/files/company_logo/Eagle-Chemical-Egypt-12429-1497346001-sm.jpg
Research Software Development Engineer,TensorGraph,Maadi, Cairo,Egypt,['Full Time'],Experienced,· 2 - 4 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Development', 'Computer Science', 'Software Development', 'Software', 'NodeJS', 'Software Engineering', 'Information Technology (IT)']","TensorGraph AI is looking for ""Research Software Development Engineer L2"" who has strong analytical and programming skills, passionate about technology, highly motivated to make an impact, eager to learn and grow, and can develop quick prototypes as well as integration of large complex systems and handling large volumes of data.
Our work environment offers opportunities to conduct applied research, to incubate innovative ideas and technologies, to grow in-depth expertise and to interact with the top experts in the field.
The passionate candidate will be in charge of the following:
Designing, coding and releasing complex software components
Collaborate with scientists to integrate successful experiments into large scale, highly complex production services.
Build complex systems that turn machine/deep learning and AI research into commercial products for our customers.
Development of machine learning experimentation pipelines and contribute to model development and AI progression (investigation, research, analysis and experimentation).
Rapidly design and conduct large scale experiments in a high-ambiguity environment, making use of both quantitative and qualitative judgments.
Interact with security engineers and related domain experts to dive deep into the types of challenges that we need innovative solutions for
Data ingestion from multiple sources, data organization, preprocessing, cleansing
Effective data storage, migration and unification
Deployment of services on the cloud and subsequent support and maintenance","Bachelor's degree in Computer Science or a related field required.
2 to 4 years of hands-on experience.
Top notch investigation skills
Experience in Machine Learning (Must) and computer vision would be a (plus).
Software development experience using both native (C++) and managed (C#) programming (Plus)
Proficiency with one high level managed programming languages such as NodeJs, C# or JavaEE..
Proficiency with scripting languages such as Windows PowerShell, Perl, Python, etc (Plus)
Experience with cloud computing environments, specifically Aws. (Plus)
Technical competence (algorithms, data structures) and strong analytical and programming skills.
Good tolerance for ambiguity and uncertainty.
Good communication skills and cross-organizational interactions.
Very good communication skills
Problem-solving skills
Adaptability and flexibility
Accuracy and attention to details
Excellent organizational skills
Time and stress management skills
Ability to learn new concepts
Ability to think analytically
Leadership and decision-making skills
Self-motivation",https://images.wuzzuf-data.net/files/company_logo/TensorGraph-Egypt-32724-1636296196-sm.png
Product Analyst,Unifonic,,Cairo,Egypt,"['Full Time', 'Work From Home']",Experienced,· 4+ Yrs of Exp,"['IT/Software Development', 'Project/Program Management', 'Engineering - Telecom/Technology', 'Terraform', 'Computer Engineering', 'Engineering', 'English', 'Information Technology (IT)', 'Software', 'Software Development']"," Unifonic is a customer engagement platform that enables organizations to delight customers with remarkable omnichannel experiences. By unifying communication channels, messaging apps, and chatbots, Unifonic streamlines conversations at every touchpoint throughout the customer journey.
 Product Principle: We build products that take the complexity out of business communication.
Our Approach: We are a team of missionaries that are passionate about learning, accountable to product success, have a deep understanding of our business context, and have tangible empathy for our customers.
 Product Analyst
The Product team at Unifonic is on the lookout for a talented Product Analyst to focus on building and launching transformative communication products for our clients. In this role, you will collaborate with product managers and engineers to co-develop a roadmap and drive products and features from concept to launch in a fast-paced environment. The responsibilities of the Product Analyst include but are not limited to:

 Translate market requirements and user stories into detailed functional requirements for new product features that meet market needs.
Translate product roadmap features into well-defined product requirements including features, user stories, and acceptance test criteria.
Groom development backlog based on Product Management priorities.
Design user interface of new features in accordance with accepted UI/UX principles and internal design standards.
Facilitate developers by refining unclear requirements and removing other obstacles during development.
List acceptance criteria for new features and perform user acceptance testing on iterative internal releases.
Review QA test plans for completeness, care, and precision.
Communicate development status to all internal stakeholders and schedule regular internal demos of in-progress features.
Train internal Support and Professional Services teams on new features and functionality.
Remember each project’s place in the overall product roadmap and respond when changes to one affect the other.
Provide Technical Writer with information as necessary.
Work with cross-functional teams and various stakeholders, including analytics, design/user experience, engineering, and user enablement.
Work in an Agile environment and continuously reviews the business needs, refines priorities, outlines milestones and deliverables, and identifies opportunities and risks.
Participate in communications between product managers & stakeholders and customers across the organization to inform the product vision, strategy, features, and prioritization.
Co-own, and executes product roadmap.
Prioritize and maintains the sprint backlog for assigned products, balancing the requirements of stakeholders."," Requirements:
Bachelor’s degree and 4 years of product or project development experience
Exposure to work with ML/AI team and understand how chatbots are created.
Understand the design behavior of chatbots.
Deep expertise in two or more areas: chatbots, conversational interfaces, NLP, machine learning, artificial intelligence (AI), data analytics.
Identify new integrations needs and write functional requirements for them
Assist in design, build and deployment of conversational flows for various channels (web, whatsapp, fb messenger, twitter dm)
Help with the buildout of new intents, including collecting historical utterances, training intents, conversational design and optimization.
Qualifications / Skills:
 Balance of technical knowledge and business acumen
Knowledge of Agile principles and SCRUM.
Customer-first, ABCD thinking mindset
Proactive, self-starter with excellent project management skills and ability to manage multiple tasks effectively
Excellent communication skills with the ability to engage, influence, and inspire partners and stakeholders to drive collaboration and alignment
High degree of organization, individual initiative, and personal accountability
Comfortable using project management tools such as JIRA
Technical background is a plus
Ability to write detailed, concise functional requirements.
Ability to solve existing problems and anticipate new ones",https://images.wuzzuf-data.net/files/company_logo/Unifonic-Jordan-71385-1655034954-sm.png
Senior BI Developer,LINK Development,,Cairo,Egypt,['Full Time'],Entry Level,· 1 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'BI', 'Software Engineering', 'SQL', 'Software Development', 'Power BI', 'SSRS', 'SQL Server']","Designing and Architect BI solutions
Develop Data warehouse, ETLs and Data visualization.
Performance Optimization for Data warehouse, ETLs and Data visualization.
Debugging, monitoring and troubleshooting BI solutions
Configuring, deploying and maintaining BI solutions","Familiarity with SQL Server and advance T-SQL concept
Proven experience from 1 to 5 Years of experience
Familiarity with Data Modeling
Familiarity with ETL Using SSIS
Familiarity with Data Warehouse Concepts and OLAP Using SSAS
Familiarity with Reports and Dashboards using SSRS, Power BI and Tableau
Familiarity with Machine Learning Algorithms is a plus
Familiarity with Azure Data Platform is a plus
Ability to manage multiple tasks/projects and deadlines simultaneously",https://images.wuzzuf-data.net/files/company_logo/LINK-Development-Egypt-15576-1499683425-sm.jpg
Senior Data Scientist,Fixed Solutions,Sheraton, Cairo,Egypt,['Full Time'],Experienced,· 5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Analysis', 'APIs', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Java', 'Programming', 'Software']"," Design and Develop analytical insights based on unstructured and structured data for industry-scale
analytical solutions on Cloud and on Prem.
Convert requirements into actual working modules.
 Work with Data Scientists and Distinguished Engineers and Architects to solve problems by using analytics as a tool.
 ","Required Years of experience: 5+ years of experience
 Who you are:
 You will be highly hands-on and enjoy keeping up with the latest innovations. With a very good grasp of a broad set of machine learning algorithms and software engineering skills, you will have a machine learning / mathematical / statistical background. 
 As a Data scientist you will apply your deep analytics expertise, designing and implementing end to end unstructured data mining of large scale big data platforms. Apply semantic correlation, ontology, and text analytics techniques to analyze un-structured data and identify critical insights.  
 You will participate in feature / design discussions / workshop with Architect and the offering Management Teams to come up with innovative solutions that can scale.
 What you know:
 Defining the business problem and working hypothesis
 Helping to locate/resolve data/quality issues
 Proficient in the following: Python, R, Java, SQL
 Proficient at consuming and building REST APIs
 Proficient at integrating predictive/prescriptive models into applications and processes
 Training and experience applying probability and statistics
 Experience in data modeling and evaluation and a deep understanding of supervised and
unsupervised machine learning
Experience applying mathematical modeling and/or constraint programming to a range of
industry problems
Ability to apply predictive models as input into decision optimization problems
 Experience building Monte Carlo simulation/optimization for what-if scenario analysis
 Experience integrating data and the output of predictive and prescriptive models within the
context of a business problem
Proficiency with data parsing, scraping, and wrangling
 Software life cycle, from analysis, design development, to unit testing, production
deployment and support.",https://images.wuzzuf-data.net/files/company_logo/Fixed-Solutions-Egypt-18523-1517185135-sm.png
Pre Sales Engineer,RDI,Dokki, Giza,Egypt,['Full Time'],Experienced,· 2+ Yrs of Exp,"['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Presales', 'Computer Science', 'Sales Skills', 'Business', 'Information Technology (IT)', 'Computer Engineering']","Engaging with customers, capturing requirements, proposing technical solutions and technologies/products.
Designs AI-based solutions using RDI engines for Speech, OCR, NLP.
Involve in customer meetings to describe/discuss the proposed solution and highlight advantages over competitors.
Prepares technical write-up and high-level design that describes the proposed solution.
Conduct research and gain knowledge of all key products and technologies (including competitive market analysis).
Drive new sales opportunities by proactively engaging with the technical community within target accounts.
Deliver consistent product training, technology updates and key selling points.
Conducting professional demos and presentations for end users. 
Create RFP responses, technical drawings, presentations, and recommendations.
Awareness / Understanding of Products’ competitors’ portfolios.
Investigating new technologies and third-party components and staying on top of technology to innovate new products and services.
Being in sync with market situation and studying market potential.","Bachelors degree of Engineering/computer science or related field.
Basic Knowledge of AI-based solutions, Machine Learning, and Deep Learning especially in these fields; Speech-to-Text, Text-to-Speech, Optical Character Recognition (OCR), and Natural Language Processing (NLP).
2+ years of experience in presales functions.
Working experience in a customer-facing role and comfortable presenting to audiences on both technical and business-related topics.
Proficiency with MS Office Suite.
Fast learner with strong team-work spirit & positive thinking attitude.
Ability to multi-task and manage competing priorities, ensuring all objectives are accomplished.",https://images.wuzzuf-data.net/files/company_logo/RDI-Egypt-5083-1579615010-sm.png
Production Engineer,Red Sea Pipes,6th of October, Giza,Egypt,['Full Time'],Experienced,· 3+ Yrs of Exp,"['Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Production', 'Engineering', 'Mechanical Engineering', 'Electrical Engineering', 'Plastic', 'Maintenance', 'Chemistry', 'Manufacturing']","Job summary:
Study the production capacity of all machines and follow up their implementation and their suitability with the production plan drawn up from the planning department approved by Production manager, study any deviation from expected production, monitor problems related to the product, machine, or workers, and make the necessary reports accordingly.
Job tasks:
Follow up the implementation of work orders in accordance with the plan approved by the Production Department
Preparing production reports that contain operating and stopping rates, optimum performance rates for machines and analyzing operating conditions.
Studying the scrap ratios and analyzing them and any deviation in the expected production rates according to the prior plan and compatible with the performance of the machines.
Continue implementation of pre-planned preventive (mechanical - electrical) maintenance plans approved by the Production and Maintenance Department and submit a report and study
Comprehensive of malfunctions during operation and suggest solutions for that.
Providing supervisors and technicians with the information necessary to raise their technical and administrative competence.
Creating a database for each equipment separately, including a record of faults, maintenance expenses and spares used as a spatial financial center.
Working a complete operating system to know the efficiency of the lines on different sizes, explaining in a table showing the preference of each machine according to each size. To arrange
Descending according to preference and problems of some machines on some sizes, in coordination with the production manager.
Coordination with the production manager in determining the needs of the department of equipment and tools that help in developing the work of the department and preparing a report accordingly.
Learn about the sources of food and its control points (electricity / water / compressed air / cooling).
Monitor the state of the molds before and after operation, organize, arrange, and code them according to type and size, and participate in the inventory procedures for pumps.
Follow health and safety standards, and industrial safety and occupational safety instructions.
Preparing reports and drawings for new molds, whether in the drawing or injection department.
The incumbent of this position is responsible for maintaining documents and confidential information.
Show his concept of rewards and penalties for the department's employees and under his presidency to his immediate boss.","Required educational level: Bachelor (Engineering - Science) Specialization: Mechanics - Electricity - Chemistry
Required skills :
Experience in Plastic pipes Field is a must.
Knowing about plastic materials
Has experience in controlling operating conditions
Knowing about maintenance work
Has experience in controlling the quality of products and identifying defects of products, their causes and how to treat them
Has administrative and behavioral capabilities in the field of industrial management
The ability to make appropriate decisions for different situations
Fluency in the English language.
Proficiency in working with computers
Required Characteristics:
A leading, administrative and organizational personality
Good behavior.
Work under pressure
Able to research and to develop.",https://images.wuzzuf-data.net/files/company_logo/Red-Sea-Pipes-Egypt-51168-1578611720-sm.png
Data Scientist “Mathematics/Physics”,Dafa,,Cairo,Egypt,['Full Time'],Experienced,· 7 - 10 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Business Objects', 'Computer Science', 'D3', 'Data Mining', 'Gurobi', 'Information Technology (IT)', 'Mathematics', 'Python']","We are looking for someone with 7-10 years of experience mining/manipulating data sets and building statistical models, has a Master’s or PHD in Physics/Statistics, Mathematics, Computer Science or another quantitative field.
Job Description
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.","Requirements 
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.
Experience working with and creating data architectures.
Coding knowledge and experience with several languages: C, C++, Java,
JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.",https://images.wuzzuf-data.net/files/company_logo/Dafa-Egypt-76749-1662034171-sm.png
Pre Sales Engineer,BBI-Consultancy,Nasr City, Cairo,Egypt,['Full Time'],Experienced,· 4 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering - Other', 'Cloudera', 'Informatica', 'Data Management', 'Informatica ETL', 'BI', 'Communication skills', 'Creative']","Technical Consultancy.
New Technology Exploration, whether an entirely new product or new modules of already existing products.
Conduct Online Webinars.
Develop Proof of Concepts (PoCs) for customers.
Develop and present Demos Solution Offerings.
Participate in creating BBI’s solution offerings.
Research different sectors’ best practices and latest trends.
Work with different BBI teams to combine the sectors’ knowledge with the technology knowledge to create solutions offerings.
Technical Partner Engagement.
Handle Knowledge Transfer between BBI’s partners & BBI teams.
Discuss and learn Architecture Guidelines & Licensing Guides from BBI’s Partners.
Collaborate with partners on replying to customers’ Compliance Matrices.
Design & Develop Add-ons on partner’s products.
Create Sales Toolkit.
Create Ready-Made Demos for other commercial team members to use, including writing the scenario, developing the demo and creating a demo script.
Create Video Recordings of the Demos/Products.
Click Through Demos.
Create ready-made Presentations to cover different functions/sectors/products.
Proactive Customer Engagement.
Creating The need (Presenting Introductory Presentation).
Presenting Demos.
Gathering & Validating Requirements.
Assessing RFPs.
Sending Clarifications to customers if needed.
Design Solution Architecture.
Validate Estimations provided from the technical team.
Proposal Writing.","Technical Hands-on experience of more than 3 years in one or more of the following areas:
Business Intelligence
Big Data
Artificial Intelligence and Machine Learning
Excellent Communication skills (Both internally and with Customers
Very good presentation skills
Ability to handle research tasks (Both Technical & Business)
Creative Thinker
Very good Technical Writing skills.",https://images.wuzzuf-data.net/files/company_logo/BBI-Consultancy-Egypt-1113-1518334605-sm.png
Senior C++ Software Developer,Luxoft (A DXC Technology Company),,Cairo,Egypt,"['Full Time', 'Work From Home']",Experienced,· 6 - 20 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'C++', 'OOP', 'Communication skills', 'Computer Science', 'Information Technology (IT)', 'Engineering', 'Software Development', 'Software Engineering']","Luxoft is one of the major software services companies world-wide. 
We deliver professional software services in multiple business verticals such as finance, automotive, and digital transformation. 
Supporting large vehicle manufacturers in the area of development, production and aftersales is Luxoft's ambition.
The software inside a vehicle was traditionally expected to be a very controlled and self-contained environment.
Equipping cars with perception and machine intelligence changes a lot in the overall picture of the vehicle manufacturer. 
Luxoft's goal is to empower our customers, with deep domain knowledge and smart solutions, to develop cars of the future. Great mechanical engineering is not the only criteria anymore for delivering the best cars in the world. 
Using state of the art software technologies are key to provide the requested user experience.
For the development of the next generation of ADAS (Advanced Driver Assistance Systems) and HAD (Highly Automated Driving) functions for a major German OEM, we are looking for talented C++ Developers (m/f/d).
Join our team of enthusiastic and experienced software developers and develop software for an entire driver assistance area of future vehicles of a renowned German automotive manufacturer. 
Develop challenging features that will be used on a daily basis by millions of drivers once the next generation of vehicles hits the roads starting 2025.","Must have
Academic degree in computer science, mechatronics, electronic engineering, telecommunication engineering or similar qualification, PhD welcome
Strong OOP and C++background, also in new standards (11, 14)
Strong software debugging skills, understanding of performance optimization
Very good understanding of the software development process, preferably in the automotive area
You are hardworking and have team spirit
Strong communication skills in English
Nice to have
 PhD in a relevant field with international experience in industrial R&D projects
Experience with Python (numpy/scipy/matplotlib)
Experience with Bazel, gdb, gcc, memory&CPU profiling
Experience with embedded and/or real-time systems
Experience in Automotive (CAN, LIN, Flexray, Ethernet, Autosar Classic/Adaptive, functional safety, etc.)
Experience in AI, Robotics, Machine Learning, Computer Vision or similar
Experience in ROS
Knowledge of MISRA standard
Enthusiasm for embedded systems and automotive
Probability theory, statistics, linear algebra, geometry, optimization
German language knowledge",https://images.wuzzuf-data.net/files/company_logo/Luxoft--A-DXC-Technology-Company--Egypt-74664-1645704102-sm.png
Head Barista,Confidential,Maadi, Cairo,Egypt,['Full Time'],Manager,· 5 - 8 Yrs of Exp,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'Hotel, Restaurant, Cafe', 'Cafe', 'Barista', 'Coffee', 'Restaurant Management']","Responsible for implementing the proper operating rules in the barista in accordance with the company's quality standards.
Responsible for receiving new baristas, informing them of the required rights and duties, and introducing them to the types of equipment used in the branch.
Responsible for working with the barista in the branch within a work team and transferring individual experiences and skills to them and developing the barista’s professional capabilities.
He is aware of the new products and makes sure that the barista is trained on (the steps of work, the final form and keeping the recipe for the products), and how to present the product to the customer in an interesting way.
Continuous effective communication with the lead barista in charge of the area.
Responsible for training new baristas and accredited baristas in the branch (OJT), preparing barista training files with the latest data update and activating the training forms attached to the file.
Responsible for monitoring the quality of products in the branch, including the daily tasting record of espresso, raw materials and products.
The branch manager assists in preparing the weekly bar orders from the stores, as well as assisting in making the monthly inventory of the bar.
Responsible for following up the daily and weekly cleaning schedules and ensuring that they are fully activated (cleaning the grinder, cleaning the coffee machine, cleaning the softener, etc.).
Responsible for the cleanliness and organization of the bar, Take Away customer service area and the store.
Responsible for following up the condition of the equipment and informing the branch manager and senior barista of the necessary maintenance for the equipment to take the necessary action, and recording this in the branch’s equipment register.
Be a source of inspiration for customers by spreading the culture of coffee and answering customers' questions.
Deals effectively with customers' needs and works to discover their desires and deals with problems professionally in the event of a complaint.","High education, preferably tourism and hotels.
Experience from 5 to 10 years. 
 A person who is organized, responsible, meticulous and pays attention to detail.
 Leads the work team, to communicate effectively with co-workers and management and to work well as part of the work team.
 Possess the professional skills and capabilities of a professional barista, to efficiently and stably prepare coffee drinks in accordance with company standards.
 Have a demonstrated interest in and passion for coffee and the coffee industry.
 Works well under pressure, able to multitask effectively without compromising quality stability.
 Has a desire for continuous learning, as coffee is a constantly evolving industry.
 He cares about his personal appearance, as he will set an example for his colleagues at work","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFQAAABUCAMAAAArteDzAAAAulBMVEUAAAC/v7+/v7+vv8+vt8exvsu1usqzvcuyu8izu8izu8ezusizvMm0vMiyusqzusmzu8q0u8iyu8iyusizu8mzusiyvMmzvMq0usmzusmyvMi0u8mzu8q0u8mzvMmzu8m0usqzu8q0u8izu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8qzu8mzu8mzu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8n///+qvQnLAAAAPHRSTlMABAgQICcwNjg8QEpQWGBkZXB0foCCiJScoKOmrLCyuLq/xM7Q09bZ4OHi5OXn6Ozu8PHy8/T29/r7/f6LHBTRAAAAAWJLR0Q90G1RWQAAAcpJREFUWMPtmFtPwkAYRBHWokUrrXipWuSmVLxWsIJ+//93earZB9FtSqhoZOdhhgnkEFiaASoVKyur1WunhXZKhoaCQgstSVsuOs+g59mtrVKgsXxSbKF/DqrEKLUm0JckSZ5IIiGeiJeloQPSJauVSpVwqYM1gl4qpXbJTaU2iV3q5d88/aHjOHtk3XHqxB51aE9/Oeg0juM78iqOr4g76nRp6I3v+0dk4PsBcUS9WQCq3M+q5b/82tzDv3+a1txH0c2HunMPb/029CEMw2z0T8LwJJt+6sNi0E4URTO5xfsa+kjpke0oahM96qOG9im3MsM7OdDszU4kwr0iL9+jRJJ8fE7+ATTwPC+VPn6soSPKIdn0vCZxSB1p6DGlLyke5EDH7+s2w1MNNQ4f0JQye79rbA/KBN1m1sbSwQMNNQ4f0IDSkTG+vdhlahy+wpdpg1mbSBff11Dj8AHdp3Rlgjfs6Zug18zaq6T4vYYahw/oPSWVV/w6B3rArD3LBX6qocbhA3pKuZBn/MAelAl6xqxNZYT3igxfjzKSKX626svUQtcW+vX7adU1qlrw+2n52lAlaKP4j7viUquA1lolqGb/Eray+gG9ASKwq1bDF0K7AAAAAElFTkSuQmCC"
Application Support Engineer,Caelum Egypt,Dokki, Giza,Egypt,['Full Time'],Entry Level,· 1 - 3 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Communication skills', 'computer', 'Computer Engineering', 'Computer Science', 'Customer Support', 'CRM', 'Engineering', 'English']","Provide 1st & eventually 2nd level (after good training on company products) support for production issues across multiple applications, including problem identification, definition and implementation of short-term work around and coordination of long term software solution with business analysis and development team.
Setup, configure and maintain monitoring for the deployed systems
Maintain the company knowledge base related to deployment of new applications and resolutions for known issues
Write internal administration guides for the applications and trains the staff in case of new deployment processes are introduced
Install and configure clients’ environments on request - onsite or offsite
Perform advances investigation of issues including network troubleshooting
Diagnose and resolve day-to-day live system issues in timely manner based on their severity
Clear understanding of software development lifecycle methodologies and documentation standards
Maintain ongoing communication with end-users, business analysts, QA team, and development team on reported issues
Coordinate, Review and respond to system audit alerts in a timely manner
Ability to write, modify, and execute SQL queries for SQL database
Configuration of local machines to clone client's production environment for troubleshooting reported issues
Effectively record and monitor progress of all issues raised, providing feedback to the business users as required
Liaise with other support/development teams to resolve cross system issues
Maintain application support documentation
Test configuration changes in a test environment prior to pushing into production
Design and support application reports
Maintain confidentiality with regard to the information being processed, stored or accessed
Read and recognize the function of SQL queries to perform troubleshooting related to application changes and releases","Bachelor degree in Software/Computer Engineering, Computer Sciences, or related field
Minimum of 2 years’ experience in a software development context with minimum 2 year in a support role
Fluent in English is must
Experience in supporting and maintaining applications on desktop, web and database platforms
Solid working knowledge in SQL database is a must
Fluent English is a MUST
Solid experience in CRM systems (Microsoft Dynamics CRM is a plus)
Solid experience in cloud computing platform (Microsoft Azure is a plus)
Business Intelligence knowledge is a plus
Working experience in .NET framework is a plus
Ability to read and understand job-related materials such as instructions, specifications, references and manuals
Ability to work with demanding users in a fast paced environment
Excellent organizational, analytical, as well as oral and written communication skills
Excellent interpersonal and communication skills (oral and written)
Strong critical thinking and analysis, meeting facilitation, verbal and written communications, and interpersonal skills
The ability to explain complicated concepts in a simple manner
Proven documentation skills with consistent accuracy of details
Strong understanding of change control processes, time management and attention to detail
Ability to manage time and work well under pressure
Flexibility to handle multiple work streams at any time
Ability to investigate, analyze information and to draw conclusions in order to troubleshoot issues
Ability to learn and support new applications
Ability to work independently or as part of a team
Proven ability to understand a customer’s business environment and processes
Ability to travel abroad when needed",https://images.wuzzuf-data.net/files/company_logo/Caelum-Middle-East-Egypt-3522-1612259033-sm.jpg
Data Engineer,Cilantro,Maadi, Cairo,Egypt,['Full Time'],Entry Level,· 1 - 3 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Science', 'Data Analysis', 'Data Analytics', 'Data Engineering', 'Data', 'Database', 'Information Technology (IT)']","ETL maintenance for data freshness and maximum warehouse uptime
Integrate new data sources to ETL
Build monitoring dashboards for data delivery and quality
Data platform infrastructure maintenance and expansion when necessary
Adapting and evolving the data platform based on business requirements 
Support in analytical dashboards creation and interfaces for stakeholders 
Support in analytical tools development and maintenance","Qualifications
We’re looking for gritty tech-savvy individuals who are good self-learners, proactive, ambitious, result-oriented and hungry for continuous self-improvement.
 Technical Qualifications:
Core understanding of OOP, and preferred proficiency in Python
Fair knowledge of SQL
Basic understanding of database systems
Fair knowledge of cloud providers, preferably GCP 
Basic understanding of cloud data warehouses, preferably Big Query
Experience using Pandas
Experience with data workflow orchestration (Airflow)
Nice to have: Machine learning and predictive analytics algorithms, experience using SQLAlchemy and Flask
 Also, interested to learn more about:
New technologies as required to achieve business goals 
Business development & transformation
Data analysis and visualization
BI tools development",https://images.wuzzuf-data.net/files/company_logo/Cilantro-Egypt-69955-1638611455-sm.jpg
